iid	model	creator	title	date	department
und:pn89d50762n	Etd	Jihyun Won	Phenotypic and Genomic Variations between and within Natural Populations in <em>Daphnia pulex</em>		University of Notre Dame::College of Engineering::Biological Sciences
und:pr76f190d65	Etd	Philip Alan Wingert	Nanoencapsulation of Luminol-Hematin-H2O2 Chemiluminescence in Calcium Phosphate Nanoshells	2008-07-18	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:pr76f190d5t	Etd	Kurt Henry Piepenbrink	Understanding the Energetic Basis for T-cell Receptor Recognition	2011-07-15	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:pr76f190d34	Etd	Tomas Estrada	Model-Based Networked Control Systems with Intermittent Feedback	2010-11-22	University of Notre Dame::College of Engineering::Electrical Engineering
und:pr76f190f0d	Etd	Laurie Ropel	Diffusion Coefficients and 1-Octanol-Water Partition Coefficients of Ionic Liquids	2004-12-13	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:pr76f190d7h	Etd	Katherine Anne Isbell	Preservation of a Labile Post-Translational Modification	2011-08-04	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:pr76f190h2q	Etd	Karen A. Bailey	Multiplex Coherent Anti-Stokes Raman Scattering Correlation Spectroscopy and Imaging		University of Notre Dame::College of Science::Chemistry and Biochemistry
und:pv63fx73q09	Etd	Marianne Arlene DiQuattro	Unsettled Spectatorship: The Unforeseen Implications of Viewing the Works of Antonin Artaud, Samuel Beckett, and Martin McDonagh	2011-11-04	University of Notre Dame::College of Arts and Letters::Literature
und:pv63fx73q20	Etd	YongJin Cho	Control of Magnetic Properties of Ferromagnetic Semiconductor (Ga,Mn)As by Fabrication Methods	2010-12-08	University of Notre Dame::College of Science::Physics
und:pv63fx73p93	Etd	Michelle M. Kundmueller	Politics and the Flight from Honor:  Homer and the Human Good	2014-08-19	University of Notre Dame::College of Arts and Letters::Political Science
und:pv63fx73r8c	Etd	Allison R. Showalter	An Investigation into the Adsorption Behavior of Aqueous Metal Ions to Graphene Oxide and Archaeal Surfaces		University of Notre Dame::College of Science::Physics
und:pz50gt56z02	Etd	Quinn Nathaniel Lathrop	IRT and SVD: Implementing Psychometric Methods in New and Complex Situations	2015-04-23	University of Notre Dame::College of Arts and Letters::Psychology
und:pz50gt56z1d	Etd	Christopher M Osborne	Written into the West:  Print-Visions and the Revolutionary Inheritance in Early National America's "Western Country"	2011-09-22	University of Notre Dame::College of Arts and Letters::History
und:pz50gt56z64	Etd	Jared F Stefanick	Design of Ligand-Targeted Nanoparticles for Enhanced Cancer Targeting	2014-07-21	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:pz50gt56z7g	Etd	James Alan Barham	Teleological Realism in Biology	2011-07-12	University of Notre Dame::Centers and Institutes::John J. Reilly Center for Science, Technology and Values
und:pz50gt56z5s	Etd	Dana Charles Wheeler	High-k-InAs metal-oxide-semiconductor capacitors formed by atomic-layer deposition	2009-04-23	University of Notre Dame::College of Engineering::Electrical Engineering
und:pz50gt56z8t	Etd	Weimin Yue	Micromechanical Modeling of Hydroxyapatite Whisker Reinforced Polymer Composites and Cortical Bone Tissue	2006-07-28	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:pz50gt5714b	Etd	Michael James Johnson	Non-Centrosymmetric Materials for the Generation of Atmospheric Pressure Gas Discharges		University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:q237hq40706	Etd	Megan Patnott	Arithmetically Gorenstein sets of points on general surfaces in P3	2013-04-30	University of Notre Dame::College of Science::Mathematics
und:q237hq4081v	Etd	Yilan Li	Botanical-Drug Interactions: Soy Isoflavones and Drug Metabolism	2007-10-08	University of Notre Dame::College of Engineering::Biological Sciences
und:q237hq4084w	Etd	Joshua A. Cole	On the elementary theories of the Muchnik and Medvedev lattices of &Pi;<sup>0</sup><sub>1</sub> classes	2009-12-21	University of Notre Dame::College of Science::Mathematics
und:q524jm23h39	Etd	Elise M. Crull	Quantum Decoherence and Interlevel Relations	2011-09-22	University of Notre Dame::Centers and Institutes::John J. Reilly Center for Science, Technology and Values
und:q524jm23h2z	Etd	Aaron Lukefahr Willis	The New Laboratory for Empire: Quebec and the Reformulation of British Imperial Practice, 1760-1775	2015-04-30	University of Notre Dame::College of Arts and Letters::History
und:q524jm23h81	Etd	Sarah Elizabeth Spengeman	Saint Augustine and Hannah Arendt on Love of the World: An Investigation Into Arendt's Reliance on and Refutation of Augustinian Philosophy	2014-07-21	University of Notre Dame::College of Arts and Letters::Political Science
und:q524jm23h7p	Etd	Peyman Hesami	Low-Complexity Incremental Transmission for Multiple-Antenna Wireless Systems	2011-09-21	University of Notre Dame::College of Engineering::Electrical Engineering
und:q524jm23m1j	Etd	Abbie J. Thompson	One or Many? The Influence of Talker Variability on Infant Word Learning		University of Notre Dame::College of Arts and Letters::Psychology
und:q811kh06s21	Etd	Kristen Koenig McCampbell	Nephron regeneration after acute kidney injury in the zebrafish	2013-04-12	University of Notre Dame::College of Science::Biological Sciences
und:q811kh06t3p	Etd	Jacquilyn Weeks	Fairies, Fairy Tales, and the Development of British Poetics	2011-08-22	University of Notre Dame::College of Arts and Letters::English
und:q811kh06t9r	Etd	Karen Clausen-Brown	Remembering the Sabbath: Law, Labor, and Liberty in Milton and His Contemporaries	2014-12-08	University of Notre Dame::College of Arts and Letters::English
und:q811kh06t6q	Etd	Luke David Simoni	Predictive Modeling of Fluid Phase Equilibria for Systems Containing Ionic Liquids	2009-12-21	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:q811kh06v5p	Etd	Lawrence P. Zaino	Electrochemical Techniques in Nanoscale Devices for Enhanced Chemical Measurement		University of Notre Dame::College of Science::Chemistry and Biochemistry
und:q811kh0704v	Etd	Kasey Stanton	The Dominance Behavioral System: Explicating Its Psychopathological Structure and Personality Relations		University of Notre Dame::College of Arts and Letters::Psychology
und:qb98mc9038p	Etd	David Joseph Guseilla	Efforts towards the Total Synthesis of 20-Deoxyapoptolidinone and "Chimeric" Analogues	2010-12-07	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:qb98mc9032m	Etd	Teng Lin	Molecular Dynamics Methodology and Simulations of Phospholipid Bilayers and Liquid Crystals	2008-07-29	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:qb98mc9033z	Etd	Xue Rui	Beam Hardening Correction in Iterative Tomographic Image Reconstruction	2011-08-03	University of Notre Dame::College of Engineering::Electrical Engineering
und:qb98mc90360	Etd	Jason Robert Baldwin	A Social Requirement Theory of Moral Obligation	2008-12-09	University of Notre Dame::College of Arts and Letters::Philosophy
und:qb98mc90318	Etd	Yang Yang	Bacterial Diagnostic System for Infectious Diseases: Siderophore-Mediated Capture and Development of a SPR-PI Sensing Platform	2013-07-29	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:qb98mc9053k	Etd	Darren Cheah	Characterization of Sedimentary <em>n</em>-alkyl Lipids in a Holocene Record from Lake Kivu, East Africa		University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:qf85n873b42	Etd	Melissa Lauren Dinsman	Radio at War: Literature, Propaganda, and the Emergence of New Modernist Networks During World War II	2013-04-30	University of Notre Dame::College of Arts and Letters::Literature
und:qf85n873b8f	Etd	Carl Jonathan Wojtaszek	Essays in Economics Using Military-Induced Variation to Study Human Capital Development, Excess Sensitivity to Income, and Labor Market Decisions	2015-05-14	University of Notre Dame::College of Arts and Letters::Economics
und:qf85n873b3q	Etd	Alexandra Imre	Experimental Study of Nanomagnets for Magnetic Quantum-Dot Cellular Automata (MQCA) Logic ApplicationsExperimental Study of Nanomagnets for Magnetic Quantum-Dot Cellular Automata (MQCA) Logic Applications	2005-04-18	University of Notre Dame::College of Engineering::Electrical Engineering
und:qf85n873b2c	Etd	Qiang Yu	The role of sulfhydryl sites in metal binding onto bacterial cells	2015-01-07	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:qf85n873d1n	Etd	John Herrington	Elucidation of the selection and roles of synonymous codons in protein biogenesis	2014-12-11	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:qf85n873c8r	Etd	Laura Marie Grande	Understanding Disorder and Crystallographic Phase Changes in Metalloporphyrins	2009-12-21	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:qj72p556n5s	Etd	Brian Pocock Boeninger	Partial Freedom and Degrees of Moral Responsibility: The Metaphysics ofInfluence and Libertarianism	2011-08-03	University of Notre Dame::College of Arts and Letters::Philosophy
und:qj72p556n2r	Etd	John Perry	Subverting the Republic:Christian Faithfulness and Civic Allegiance in John Locke's America	2008-09-04	University of Notre Dame::College of Arts and Letters::Theology
und:qj72p556n33	Etd	Yong Huang	Thermal Stability and Phase Transitions of Ionic Liquids	2013-07-25	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:qj72p556n8t	Etd	David M. Costello	Effects of invasive species and chemical contaminants on biogeochemical fluxes across ecosystem boundaries	2009-12-15	University of Notre Dame::College of Engineering::Biological Sciences
und:qj72p556n4f	Etd	Micah Rose Rogel	Effects of Hydroxyapatite Crystal Morphology on Osteoblast-like Cell Response	2010-12-23	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:qj72p556n1d	Etd	Charles Laurin	Lasso Meta-Regression and Its Application to Psychiatric Genomics	2014-05-09	University of Notre Dame::College of Arts and Letters::Psychology
und:qn59q239w5t	Etd	Sean C. Kassen	Characterization of Light-Induced Zebrafish Retinal Regeneration and the Role of Stat3, CNTF, and Olig2 During Light-Induced Zebrafish Retinal Regeneration	2008-03-28	University of Notre Dame::College of Engineering::Biological Sciences
und:qn59q239x0d	Etd	Gregory Thomas Neumann	Tailoring the Active Site and Mesostructure of ZSM-5 for Deoxygenation and C-C Bond Coupling Reactions	2015-06-04	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:qn59q239w4g	Etd	Patricia Snell	"Just Reproduce After What I Taught You": Spatial Segregation of Religious Youth Socialization and the Reproduction of Social Inequality	2009-01-14	University of Notre Dame::College of Arts and Letters::Sociology
und:qn59q239x1r	Etd	Joel Griffith	Modeling Electromagnetic Properties of Hadrons	2013-06-18	University of Notre Dame::College of Science::Physics
und:qn59q239w65	Etd	John Harvey	Around Palais' Covering Homotopy Theorem	2014-05-02	University of Notre Dame::College of Science::Mathematics
und:qr46qz23602	Etd	Colin Michael McClelland	Type Ia Supernova Diversity: Studies of SN 2007qd, SN 2008Q and SN 2011fe	2013-06-18	University of Notre Dame::College of Science::Physics
und:qr46qz2364f	Etd	Amanda Leigh Klingensmith	Np5+ Incorporation into Select Uranyl Phases and Thermal Analysis of Select Uranyl Phases	2008-07-11	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:qr46qz2367g	Etd	Aniruddha Konar	Electronic and Optical Properties of Low Dimensional Systems: Effect of the Dielectric Environment	2011-09-21	University of Notre Dame::College of Science::Physics
und:qr46qz2365s	Etd	May Kim	The Influence of Cultural Context on Risk, Resilience, and Mental Health on Emerging Latino Adults	2014-07-22	University of Notre Dame::College of Arts and Letters::Psychology
und:qr46qz23633	Etd	Justin Van Ness	Meaning Making in Protest Situations	2015-05-13	University of Notre Dame::College of Arts and Letters::Sociology
und:qr46qz23664	Etd	Angelina Maria Copeland	The Interaction of Goal and Temporal Shifts in Situation Models	2006-07-19	University of Notre Dame::College of Arts and Letters::Psychology
und:qr46qz2377s	Etd	Emery Ndjiho Longanga	Interpreting a Christian Classic in an African Context: Pluralism and Inculturation in Light of David Tracy and Leonard Santedi		University of Notre Dame::College of Arts and Letters::Theology
und:qv33rv06f6w	Etd	Pei Zhao	Novel High Frequency Devices with Graphene and GaN	2015-01-14	University of Notre Dame::College of Engineering::Electrical Engineering
und:qv33rv06f77	Etd	Rakshit Tirumala	Corona Discharges in Asymmetric Electric Fields and its Impact on Ionic Wind Generation	2013-05-08	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:qv33rv06f8k	Etd	Danielle Marie McDermott	Pattern Formation in Micro and Nanosystems	2014-05-02	University of Notre Dame::College of Science::Physics
und:qv33rv06g2t	Etd	Lorenzo Delloso	"Litre de stampa son caliginose": The Role of Filippo da Strada (1450-1505) in the Debate on Printing in Renaissance Italy	2015-04-30	University of Notre Dame::College of Arts and Letters::Romance Languages and Literatures
und:qv33rv06g35	Etd	Youngho Yoon	Spectrum of Hyperplane Arrangements in Four Variables	2013-06-17	University of Notre Dame::College of Science::Mathematics
und:qv33rv06h24	Etd	Matthew Aron Bennington	Tip Gap Flow and Casing Treatments in an Axial Compressor	2009-12-16	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:qv33rv06h0f	Etd	Hui Fang	Control of Distributed Systems with Interconnection Constraints	2007-12-05	University of Notre Dame::College of Engineering::Electrical Engineering
und:qv33rv06g97	Etd	Cesar Cadena	Molecular Modeling of the Thermophysical and Transport Properties of Ionic Liquids	2006-09-15	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:qv33rv06h55	Etd	Kevin Joseph Melchiorri	The Collaborative Tribe	2014-12-10	University of Notre Dame::College of Arts and Letters::Art, Art History, and Design
und:qv33rv06j44	Etd	Thomas Graff	A Rhetoric of Suspension: Rethinking Salvation in the <em>Commedia</em>		University of Notre Dame::College of Arts and Letters::Romance Languages and Literatures
und:qz20sq89r85	Etd	Heather Brooke Reilly	The genetic dissection of differential growth in Plasmodium falciparum and its relationship to chloroquine drug selection	2008-09-04	University of Notre Dame::College of Engineering::Biological Sciences
und:qz20sq89r6g	Etd	Michael Joseph Chapple	Security Management of Controlled Networks in a Resource-Constrained Environment	2009-06-26	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:qz20sq89r23	Etd	Brittani R Russell	A Novel Rapidly Deployable Floating Causeway: Design and Optimization	2013-05-15	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:qz20sq89r1r	Etd	Todd Kane	Experimental Determination of Engineering Parameters for the Creation of a Mathematical Model of the Notre Dame Three Foot Wind Tunnel	2011-05-06	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:qz20sq89r54	Etd	Matthew Hatch	Leopardi's Ironic Genesis: "La storia del genere umano"	2015-06-05	University of Notre Dame::College of Arts and Letters::Romance Languages and Literatures
und:qz20sq89r7t	Etd	Stephen L Armet	Education Policy as a Mechanism for Secularization in a Catholic Majority Country: The Case of Uruguay, (1877 &#8211; 1932)	2014-07-16	University of Notre Dame::College of Arts and Letters::Sociology
und:qz20sq89r9h	Etd	Erin Marie Daly	Probing Tubuling Interactions with 14-Methyl Epothilone D Analogues	2011-11-23	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:qz20sq89s2d	Etd	Caitlyn Shea Butler	Fundamental and Applied Studies of Microbial Fuel Cells for Sustainable Water and Wastewater Treatment	2009-12-23	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:qz20sq89s5f	Etd	Rachel Zavecz	SIX	2015-06-04	University of Notre Dame::College of Arts and Letters::English
und:qz20sq89s9t	Etd	Danielle Fulmer	Bridging Together: Boundary-Spanning Actors and Community Violence		University of Notre Dame::College of Arts and Letters::Sociology
und:qz20sq89t94	Etd	Sean P. Vilanova	An Investigation of the Multiple Binding Modes and Secondary Interactions of N-Arylated PNArP Ligands on Iridium		University of Notre Dame::College of Science::Chemistry and Biochemistry
und:r207tm7309b	Etd	Calli Anne Versagli	Understanding the Metabolic Mechanisms Behind the Survival of Extracellular Matrix-Detached Breast Cancer Cells	2014-05-01	University of Notre Dame::College of Engineering::Biological Sciences
und:r207tm73080	Etd	Melanie Anne Bunda	Synthesis, Characterization, and Reactivity of Charge-Separated Group 2 Trisamide Anions	2011-01-12	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:r207tm73158	Etd	Huijing Du	Multiscale Modeling of Bacterial Swarming	2013-06-17	University of Notre Dame::College of Science::Applied and Computational Mathematics and Statistics
und:r207tm7310j	Etd	Jonathan Darryl Ashley	Engineering Novel Targeted Nanoparticle Formulations to Increase the Therapeutic Efficacy of Conventional Chemotherapeutics Against Multiple Myeloma	2014-04-28	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:r207tm7314x	Etd	Prashan De Visser	The Role of Youth in Transforming Conflict	2015-05-14	University of Notre Dame::Keough School of Global Affairs::Global Affairs
und:r207tm73247	Etd	Matthew Zyskowski	Cost Density-Shaping for Stochastic Optimal Control	2010-12-09	University of Notre Dame::College of Engineering::Electrical Engineering
und:r207tm7322j	Etd	Yunshan Wang	Novel Optical Biosensors: Singular Intensity Amplification and Molecular Trapping Enhancement at Nanoscales	2014-11-18	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:r207tm73278	Etd	Peter Mundey	American Christianity & Consumerism: Understanding the Relationship Between Christian Economic Culture and Secular Consumer Culture	2014-12-11	University of Notre Dame::College of Arts and Letters::Sociology
und:r207tm73216	Etd	Sara Summers	The effects of a microbial ligand on Pb sorption to montmorillonite clay and on Pb carbonate formation	2012-12-20	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:r207tm73305	Etd	Deanna C. Childress	Cultural Resources and School Success: School Engagement as the Missing Link		University of Notre Dame::College of Arts and Letters::Sociology
und:r494vh5694z	Etd	Xiu Xing	Pseudomorphic In0.22Ga0.78As-Channel MOSFETs Using InAlP Oxide as the Gate Dielectric for RF Applications	2013-06-11	University of Notre Dame::College of Engineering::Electrical Engineering
und:r494vh5693m	Etd	Michael Daniel Driessen	Religiously Friendly Democracy: Framing Political and Religious Identities in Catholic and Muslim Societies	2011-09-22	University of Notre Dame::College of Arts and Letters::Political Science
und:r494vh56928	Etd	Craig Matthew Goehler	A Generalized Parameterization of T1 Motion and its Application to the Synthesis of Planar Mechanisms	2004-05-13	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:r494vh56b17	Etd	Katharine Elizabeth Harmon	"There Were Also Many Women There":  Roman Catholic Lay Women in the American Liturgical Movement, 1926-1959	2011-07-29	University of Notre Dame::College of Arts and Letters::Theology
und:r494vh56b0w	Etd	Weiqiang Huang	Synthetic Studies on Carbocyclic Nucleosides	2008-03-05	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:r494vh5699p	Etd	Gregory Daniel Shufeldt	Unequal Parties: Partisan Differences in Political Behavior	2014-07-22	University of Notre Dame::College of Arts and Letters::Political Science
und:r494vh5698b	Etd	Huyen Thanh Pham	Essays on Dynamic Competition and Academic Entrepreneurship	2012-06-28	University of Notre Dame::College of Arts and Letters::Economics
und:r494vh56b48	Etd	Jai Kishan Verma	Polarization Engineering for Novel III-V Nitride Device Structures	2010-12-07	University of Notre Dame::College of Engineering::Electrical Engineering
und:r494vh56c68	Etd	Liang Wu	High Order Fast Iterative Methods for Steady State of Hyperbolic Partial Differential Equations		University of Notre Dame::College of Science::Applied and Computational Mathematics and Statistics
und:r494vh56b79	Etd	Brian William Lysholm	Labyrinths	2008-12-16	University of Notre Dame::College of Arts and Letters::English
und:r781wd39k72	Etd	Jason M. Bray	Adsorbate Coverage Dependence in Heterogeneous Catalysis: Kinetics of Oxygen Adsorption on Platinum Surfaces from First Principles	2013-06-18	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:r781wd39k10	Etd	Jeffrey Arnold Christians	Mesostructured Thin Film Solar Cells: Examining Hole Transfer Mechanisms and Device Stability	2015-03-27	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:r781wd39k6q	Etd	David Michael Eike	Property Prediction of Novel Compounds Using Statistical Analysis and Molecular Simulations	2006-06-12	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:r781wd39k2b	Etd	Tai-Wei Hwang	Dynamics of Atomic Scale Metallic Junctions and Adsorbed Lewis Base Adsorbates Studied by Fluctuation Spectroscopy	2014-05-02	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:r781wd39m4b	Etd	Nathan Alan Meredith	Influences on Neptunium Incorporation in Uranyl Phases	2014-11-17	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:r781wd39m30	Etd	Roger G. Hanshaw	Small Molecules for the Selective Recognition of Biomembrane Components	2006-08-25	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:r781wd39m61	Etd	Justin Michael Deuerling	Effects of ultrastructural organization on the mechanical properties and anisotropy of human cortical bone	2010-12-13	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:r781wd39n2z	Etd	Meghan K. Cain	Time and Other Considerations in Mediation Design		University of Notre Dame::College of Arts and Letters::Psychology
und:r781wd39r8z	Etd	Lisa Weaver Swartz	Gendered Gospel, Ungendered Mission: Identity Construction at Two Evangelical Seminaries		University of Notre Dame::College of Arts and Letters::Sociology
und:rb68x922v56	Etd	Elaine M Mindrup	Discovery of New Ionic Liquids for Co2 Capture	2011-09-22	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:rb68x922v6j	Etd	Wangqing Yuan	Novel Design of Monolithically Integrated Photonic Devices: Teardrop Laser and Polarization Rotator-Splitter	2013-05-09	University of Notre Dame::College of Engineering::Electrical Engineering
und:rb68x922w0s	Etd	David Christopher Post	Robustness and Efficiency of Planar Biped Walking Robots	2013-07-25	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:rb68x922w3t	Etd	Daniel Smith Borkowski	Rangewide Population Genetics and Genomics of Quercus rubra L.	2014-07-31	University of Notre Dame::College of Engineering::Biological Sciences
und:rb68x922w14	Etd	Gregory James Davis	Modeling the Symbolic Control of Visual Attention	2014-07-22	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:rb68x922v9k	Etd	Hubert George	Manufacture and Performance of Aluminum Single Electron Transistor for Ultra-Sensitive Charge Fluctuation Measurements	2010-12-09	University of Notre Dame::College of Engineering::Electrical Engineering
und:rb68x922w2g	Etd	Xiaowen Hou	Using Molecular Evolution to Dissect the Structure/Function Relationships of the NPC1 and NPC2 Proteins (Niemann-Pick Type C)	2010-12-16	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:rb68x922w9w	Etd	Misty Yvonne Schieberle	Feminized Counsel: Representations of Women and Advice to Princes in Late Medieval England	2010-12-10	University of Notre Dame::College of Arts and Letters::English
und:rb68x922w6v	Etd	Amy Lynn Fagan	Volcanic and Impact Processes on Mars and the Moon	2012-12-17	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:rf55z606446	Etd	Felix Vietmeyer	Optical Properties of CdSe Nanowires &#8212; Experiment and Theory	2014-04-11	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:rf55z60655v	Etd	Jeremiah David Edward White	Combustion Based Technique for Synthesis and Joining of Refractory Materials	2009-08-25	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:rf55z60648k	Etd	Jarrett Adrian Carty	Machiavelli, Luther, and the Reformation of Politics	2006-06-16	University of Notre Dame::College of Arts and Letters::Political Science
und:rf55z606566	Etd	Michael Edward Lee	Transforming Realities: Christian Discipleship in the Soteriology of Ignacio Ellacur a	2007-07-03	University of Notre Dame::College of Arts and Letters::Theology
und:rf55z60658w	Etd	Holly R. VandeWall	Expertise and the Disunity of Science: A Case Study in the Difficulties of Providing Expert Advice for Policy	2010-12-20	University of Notre Dame::Centers and Institutes::John J. Reilly Center for Science, Technology and Values
und:rf55z60670r	Etd	Christian Cirhigiri	Student Movements and Societal Accountability for Ethnic Reconciliation: Case Studies of the Eastern DR Congo, Burundi and Sri Lanka		University of Notre Dame::Keough School of Global Affairs::Global Affairs
und:rj430289d38	Etd	Faisal Ahmed Shah	Exchange-Biased Magnetic Multilayers for Nanomagnet Logic Applications	2015-01-15	University of Notre Dame::College of Engineering::Electrical Engineering
und:rj430289d7n	Etd	Gergo Peter Szakmany	Fabrication of Antenna-Coupled Metal-Oxide-Metal Infrared Detectors Using Atomic-Layer Deposition (ALD)	2011-09-21	University of Notre Dame::College of Engineering::Electrical Engineering
und:rj430289f1w	Etd	Shawn Patrick O'Brien	Exploring the &#945;p-process with high precision (p,t) reactions	2010-10-08	University of Notre Dame::College of Science::Physics
und:rj430289f4x	Etd	Yashan Sun	Distributed coordination of multi-agent systems based on estimation overad-hoc communication networks	2008-09-05	University of Notre Dame::College of Engineering::Electrical Engineering
und:rj430289f3k	Etd	Kirstin Joy Hasler Brathwaite	Symbols and Sacrifice: The Role of Nationalism in Combat Effectiveness	2014-07-31	University of Notre Dame::College of Arts and Letters::Political Science
und:rj430289f58	Etd	Casey Lanea Hill	The Holistic Influences and Dynamics of the Aedes aegypti Microbiome	2014-09-18	University of Notre Dame::College of Engineering::Biological Sciences
und:rj430289d80	Etd	Paolo Pellecchia	The Inescapable Importance of the Subject in "Le Cosmicomiche" and "Ti con Zero" by Italo Calvino	2013-05-09	University of Notre Dame::College of Arts and Letters::Romance Languages and Literatures
und:rj430289f27	Etd	Wenrui Hao	Homotopy Methods for Nonlinear Partial Differential Equation Systems	2013-07-08	University of Notre Dame::College of Science::Applied and Computational Mathematics and Statistics
und:rj430289f0j	Etd	Gavin John Irvine	Understanding Inorganic Salt Ion Fluxes in Forward Osmosis Experiments	2013-06-18	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:rj430289g0v	Etd	Lucas Q. Ton	Positional Cloning and RNA Interference Assay Demonstrated Plasmodium-Melanizing Function of a Serine Protease Within the Plasmodium Encapsulation 1 Locus (Pen1) of the Malaria Mosquito Anopheles Gambiae	2007-10-09	University of Notre Dame::College of Engineering::Biological Sciences
und:rj430289f89	Etd	Jim O Thomas	Computer Vision Techniques for Damage Assessment from High Resolution Remote Sensing Imagery	2012-12-13	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:rj430289g3w	Etd	Nikhil Yadav	Portable Concussion Assessment Using Speech Biomarkers		University of Notre Dame::College of Engineering::Computer Science and Engineering
und:rj430289g16	Etd	Silpa Swarnapuri	Tales of the Apocalypse	2008-05-08	University of Notre Dame::College of Arts and Letters::English
und:rn300z72q0x	Etd	Matthew J Kennedy	Second Naivete: Essays on the Structure of Experience	2008-07-28	University of Notre Dame::College of Arts and Letters::Philosophy
und:rn300z72p5b	Etd	Mei Chen	Multilevel Coding for ISI Channels and Fading Channels	2008-03-27	University of Notre Dame::College of Engineering::Electrical Engineering
und:rn300z72p6p	Etd	Renato G. Bettiol	On different notions of positivity of curvature	2015-04-23	University of Notre Dame::College of Science::Mathematics
und:rn300z72r07	Etd	Meredith Chase Whitnah	American Evangelical Gender Ideology and Intimate Partner Violence	2010-12-13	University of Notre Dame::College of Arts and Letters::Sociology
und:rn300z72q7b	Etd	Richard James deBoer	Measurements and Analysis of alpha-Induced Reactions of Importance for Nuclear Astrophysics	2011-09-15	University of Notre Dame::College of Science::Physics
und:rn300z72r38	Etd	Ruobing Xie	Transformation of a Three Dimensional First Order Vortex Matter Transition with Induced Disorder	2010-12-08	University of Notre Dame::College of Science::Physics
und:rn300z72s27	Etd	Pablo Ruiz de Olano	Epistemic Values in Theoretical Physics: Symmetries, Conservation Laws, and the Strong Nuclear Interaction		University of Notre Dame::Centers and Institutes::John J. Reilly Center for Science, Technology and Values
und:rr171v55z5p	Etd	Qiang Shen	Seismic Analysis, Behavior, And Design of Unbonded Post-Tensioned Hybrid Coupled Wall Structures	2007-01-15	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:rr171v5600j	Etd	Autumn Brooke Wyant Palmiter	The Effects of Adult Scaffolding and Child Executive Functioning on Vocabulary Learning During Shared Book Reading	2013-05-09	University of Notre Dame::College of Arts and Letters::Psychology
und:rr171v55z92	Etd	Crystal Harris Blount	The Impact of Race-Related Stress in a Sample of African American Adults	2011-10-03	University of Notre Dame::College of Arts and Letters::Psychology
